FLOPS		Run1		Run2		Run3		Ave		SDV
Thread 1	8.02864		7.99909		8.09846		8.042063333	0.041663242
Thread 2	15.2248		15.22657	15.19463	15.21533333	0.01465729
Thread 3	26.95997	25.66637	25.16845	25.93159667	0.755047401
Thread 8	28.2387		29.43273	28.99341	28.88828	0.493096439
					
IOPS					
Thread 1	8.10651		8.04847		8.01089		8.05529		0.03933345
Thread 2	15.18579	15.25151	15.26401	15.23377	0.034308627
Thread 3	26.77588	25.89962	26.35907	26.34485667	0.3578728
Thread 8	25.5057		25.93762	25.79395	25.74575667	0.179593373
