	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Thu Sep 25 03:07:41 2014

	Auto Mode
	Command line used: ./iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   627470  1232453  5389653  6421025  4988978  1392258  2662899   1722886   5283570  1452528  1562436  4564786  5860307
              64       8   789967  1599680  7293312  9006179  7100397  1562436  5860307   2444640   8182586  2133730  2133730  7100397  8182586
              64      16   901377  1690338  7100397  9318832  7940539  2298136  5389653   2467108   7940539  2133730  2358717  7100397  9006179
              64      32   952555  1933893  8182586 10821524  7940539  2561267  5860307   2662899   5860307  1991276  2467108  6421025  9006179
              64      64   942521  1690338  7940539 10402178  8182586  2379626  3541098   2561267   7100397  2561267  2379626  6421025  9006179
             128       4   785122  1705404  6114306  7582312  5784891  1705404  4934216   2098744   5325799  1755594  1727352  6114306  6727225
             128       8   934004  1967960  8036304  9977956  7476717  2367096  6045455   2727923   8036304  2248149  2286447  7476717  9287508
             128      16  1057236  2420455  7476717  9795896  8548124  2920861  6727225   3199360   1121270  2558895  2511022  6330599  9977956
             128      32  1048974  2248149  8548124  9795896  9129573  2608629  6727225   3199360   9129573  3036502  3124872  8036304  9795896
             128      64   940549  2464907  9129573 11720614  9129573  3277486  8036304   3468030   9977956  2727923  4407601  9129573 10779307
             128     128  1142750  2558895  9977956 11470204  9795896  3560017  7917784   3536566   9129573  2727923  3359523  9129573 11720614
             256       4   817898  1755037  6761355  7120034  6073004  2114473  5687020   2441400   5938650  1871263  1855098  6398720  6936061
             256       8  1011241  2305128  9114515 10245071  8815202  2911402  8271916   3410808   8208677  2613746  2582316  7314033  9192546
             256      16  1137672  3017775  9518507 10651598  9518507  2849590  7735574   3717869  10651598  3043436  3087188  8815202  9778562
             256      32  1178892  2943325 10245071 11695808 10651598  3285566  8271916   4070199  11091721  3511189  3557725  9434868 10651598
             256      64  1235882  3087188 10245071 11695808 10651598  3823789  9114515   4281170  11207494  3994490  4132864 10651598 11695808
             256     128  1248819  3159869 10651598 11569783 10651598  3935921  9114515   3705040  11091721  3717869  5810112 10245071 11695808
             256     256  1274008  3087188 11091721 11695808 10758322  4117018  9192546   4117018  10245071  4132864  4132864  7791708 11091721
             512       4   912733  1945526  6652558  7115451  6104175  2039772  5822804   2132967   5684095  1977778  1933266  6736026  7022379
             512       8  1073309  2926501  9468384 10044089  8992598  2879414  8528336   3768799   8701110  2815243  2830083  9468384 10044089
             512      16  1283761  3029721 10235583 10856530 10044089  3580298  8701110   4195896   9145790  3201349  3220553  9510316 10044089
             512      32  1296159  3239989 10434519 11620224 11138071  4123387 10044089   4916336  13109944  3795443  3788747275117510 11374040
             512      64  1350783  3604335 11138071 11943357 11374040  4237291  9638369   4457157  12499490  3877684  3970896 10434519 11683444
             512     128  1422357  3634839 10911694 11877300 11138071  4271001 10044089   4927617  11877300  4411377  4296637  9638369 11138071
             512     256  1506154  3710197 11138071 11620224 11138071  4091959  8528336   4262523  10044089  3815675  5495016  9638369 10641343
             512     512  1475116  3628697 11138071 11620224 11138071  4742616 10485468   4784885   9814569  4237291  4163357  9468384 11138071
            1024       4  1025099  1995982  6918376  7369466  6280976  2290886  6059442   2547723   6059442  2024203  1928757  6640274  6874084
            1024       8  1182598  2782064  9220512  9743447  8610501  3191372  8262639   3778101   8391792  2604895  2638501  8680108  9569770
            1024      16  1338494  2993413  8610501  9655828  8988941  3556008  8137402   3863055   7699755  3057339  3037876  8914314  9655828
            1024      32  1503942  3472628 10134284 11645609 10990032  4634161  9743447   4741598  10454984  3671521  3631168 10454984 11489839
            1024      64  1514549  3709575 11132462 12348754 11773301  4614246 15080341   5048117  12828238  4048778  3941039 10329265 12037272
            1024     128  1540074  3751699 10662628 12071103  9743447  4805258  9855234   5251818  12173747  4162573  4199201 10354166 11903823
            1024     256  1560781  3863055 10230845 12037272 11773301  5018624  9765601   5048117  11018226  4550690  4488860  9485232 11249091
            1024     512  1542286  3794792 10796646 11645609 11368190  4634161  8662601   4715569  10557785  3984917  6025439 10230845 11489839
            1024    1024  1528563  3646583 11368190 11249091 11249091  4493556  8457895   4512441   9300377  4531485  4493556 10134284 11368190
            2048       4  1033835  2052157  5900467  7059413  4543002  2157838  5852228   2566606   5920802  2005679  1972971  7846081  7036283
            2048       8  1149338  2605532  7616502  9796850  8292998  3302797  7311791   3425279   7969835  2760434  2656292  7698414  9664580
            2048      16  1397008  3155969  8713618 10780463  9853037  3843705  7940367   4376355   9101380  3302797  3282603  2008023 16653431
            2048      32  1810768  3543986  9101380 11642543 10959265  4301837  8784909   4937295  10660056  3915540  3657149  9483197 11502234
            2048      64  1597590  3792790  9578367 12488897 12033995  4531020  9149853   5433896  11072275  3864455  3806235  9887060 12345306
            2048     128  1568134  3690142  9024882 11564174 11187641  4666399  8669645   5403134  12729493  3871422  3792790  9389900 11440955
